,log2fc_6mo,log2fc_12mo,log2fc_22mo,labels_hc
884.5394,-0.8886866062690445,-1.223299920367111,-0.5497036750992429,0
685.5149,0.35755424835833927,0.14302544290290445,1.0734930482791616,0
729.5485,-0.1393313118433169,-0.5044282517892259,0.8010319276946086,0
883.5340,-0.8872794879621548,-1.098485025521989,-0.5128652082144455,0
883.5327,-0.6547141583379608,-0.7678158982145739,-0.3880142941126398,0
838.5569,-0.4343621690774333,-0.8611521591661693,-0.27860374226922086,0
862.6049,-0.7038175382790746,-1.2831574769469178,0.04748225147691008,0
806.5424,-0.6993554526029613,-1.3886500727513693,-0.4311296058969167,0
752.5344,-0.02686334590704493,-0.29702353973473455,0.4169662117494579,0
729.5460,0.09105495153406747,-0.25265828772746257,0.7710960093475349,0
806.5432,-0.46572464802186275,-1.1597034695166886,-0.29016554025990915,0
839.5621,-0.08026904543977191,-0.6205255894495191,-0.22741877815009573,0
806.5428,-0.7087534165489865,-1.3911301474338775,-0.43495814884196804,0
837.5423,-0.6206817872567564,-0.8710533144144871,-0.6055306542086277,0
806.5389,-0.6240288924185746,-1.404865175002791,-0.4313316349082798,0
838.5573,-0.4287703182654548,-0.8717558369261517,-0.26885389797637294,0
752.5416,-0.0772190058852619,-0.3419419909754103,0.3698365409084838,0
884.5361,-0.5806065508782926,-0.8961004403837567,-0.45254601897365904,0
884.5361.1,-0.5806065508782926,-0.8961004403837567,-0.45254601897365904,0
883.5342,-0.8890825199006462,-1.0949919274519733,-0.5076765958727892,0
862.6048,-0.7085568845652751,-1.2932637505066553,0.04229548445231572,0
862.6077,-0.8765863287137878,-1.47450715222586,-0.009682703755386898,0
751.4966,0.5468337885431718,0.28657349779968944,0.6999645143086095,0
838.5575,-0.42630880566436674,-0.8789838532684389,-0.26743840528991153,0
729.5132,0.37694498228262246,-0.11232955376780597,0.840356268887252,0
882.5256,-0.4550283441895562,-0.6986955783157087,-0.20716312427365283,0
837.5421,-0.6176805232408082,-0.873733579931969,-0.6090667990692503,0
729.5494,0.022525788659488767,-0.26314553643614813,0.7456796608346365,0
791.5422,-0.45204277580631036,-0.14273937114358265,-0.7345474722187644,1
778.5600,-0.8581876737270856,-1.0404577024060309,-1.7455586171259205,1
600.5079,-1.1523581750622514,-0.9061499108429854,-1.6029889394077423,1
309.2797,0.4621021172416341,0.4044515651580772,0.049323953188239456,1
804.5742,-1.1241256831960105,-0.8038036350808916,-2.3484710747609663,1
175.0471,-0.1472911892706881,0.23396357302135318,-0.8901778292404284,1
281.2491,0.7478003577001647,0.7554551829124432,0.4095533156337527,1
744.5532,-0.9981139923756776,-0.7955860383936292,-1.4856552589451577,1
347.0429,-0.6128341245135881,-0.9329560998844614,-1.5282171881765447,1
281.2495,0.74782590874155,0.7565462161318844,0.40969453920209303,1
282.2526,0.7204613482755093,0.6819061423179531,0.2626990699215594,1
329.2451,2.2131397837819313,2.1393416775643384,0.571745577451426,1
602.5055,-1.2207101092402055,-1.0773633247350765,-1.8291987788909791,1
279.2330,1.1372825977855034,1.0099970387069368,0.3276149728966414,1
328.2358,1.9041316781693227,1.8354908015005456,0.4356761589683175,1
744.5529,-1.0007715876782024,-0.7984953247355753,-1.4905988564699715,1
768.5317,-1.3548840487256537,-1.1388996217267715,-2.3505431311303115,1
301.2172,2.2794752399248956,2.4730447615342235,0.8675096412635326,1
766.5361,-0.39593670419828936,-0.171199574918308,-0.5987403844926226,1
792.5456,-0.45802667730576524,-0.4139560986288164,-0.9117163257897304,1
805.5783,-1.2517951795033202,-1.0086016068199952,-2.2955292454307887,1
794.5461,-1.0781753117755453,-0.6505876985348914,-1.8748103414148967,1
804.5753,-1.2416956522151714,-0.9953414777959831,-2.249991814347858,1
794.5474,-1.067237181953929,-0.6654935014207972,-1.859583909932205,1
767.5395,-0.5960402785195469,-0.55831602717616,-0.8216129609860636,1
794.5472,-1.199707341642991,-0.923248806230719,-1.9599424255619706,1
601.5093,-1.1720240447589254,-1.0289010780539662,-1.766760415959034,1
768.5313,-1.3463266122750386,-1.136462766715674,-2.369580149944588,1
329.2455,2.2108700830541625,2.1380734119913916,0.5689385765285426,1
327.2329,1.8036670048528785,1.9166905038062632,0.6586719191458403,1
347.0423,-0.6097590635564545,-0.9313978981846335,-1.521586024877851,1
767.5394,-0.6020180225409414,-0.5619129923648308,-0.8231774862993146,1
328.2227,1.9956022226022436,1.9080537121927266,0.33780580657568415,1
305.2454,0.6308149721671311,0.565776017312589,0.06856823182962783,1
327.2166,1.8130299203273563,1.8711881348269936,0.6479845404302301,1
601.5084,-1.1969887242186052,-1.0311351508368591,-1.7713789272825702,1
301.2174,2.27942264489523,2.4729360037588544,0.8675213172623911,1
